,Ticker,Sector,Market Cap
147,UNIVINSURE,Financials,16000000000.0
148,UPDC,Real Estate,18600000000.0
149,UPDCREIT,Real Estate,2670000000.0
150,UPL,Consumer Services,431000000.0
151,VANLEER,Industrials,42600000.0
152,VERITASKAP,Financials,13900000000.0
153,VITAFOAM,Consumer Goods,1250000000.0
154,WAPCO,Industrials,16100000000.000002
155,WAPIC,Financials,24000000000.0
156,WEMABANK,Financials,12900000000.0
157,ZENITHBANK,Financials,31400000000.0
